fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
6.7,0.41,0.01,2.8,0.048,0.039,0.137,994.2,3.24,0.35,9.5,5,white
7.1,0.26,0.49,2.2,0.032,0.031,0.113,990.3,3.37,0.42,12.9,9,white
7.5,0.32,0.49,1.7,0.031,0.044,0.109,990.6,3.07,0.46,12.5,6,white
5.8,0.19,0.49,4.9,0.04,0.044,0.118,993.5,3.34,0.38,9.5,7,white
6.9,0.27,0.49,23.5,0.057,0.059,0.235,"1,002.4",2.98,0.47,8.6,5,white
8.1,0.2,0.49,11.8,0.048,0.046,0.212,996.8,3.09,0.46,10,7,white
7.5,0.32,0.49,1.7,0.031,0.044,0.109,990.6,3.07,0.46,12.5,6,white
8.2,0.26,0.49,5.2,0.04,0.019,0.1,994.1,3.12,0.34,10.1,6,white
7.8,0.26,0.49,3.2,0.027,0.028,0.087,991.9,3.03,0.32,11.3,7,white
8,0.14,0.49,1.5,0.035,0.042,0.12,992.8,3.26,0.4,10.6,7,white
8,0.29,0.49,11.7,0.035,0.04,0.131,995.8,3.14,0.34,10.8,5,white
7.5,0.19,0.49,1.6,0.047,0.042,0.14,993.2,3.4,0.47,10.7,6,white
6.9,0.34,0.49,7.3,0.045,0.061,0.206,995.7,3.09,0.4,9,6,white
6.2,0.2,0.49,1.6,0.065,0.017,0.143,993.7,3.22,0.52,9.2,6,white
6.4,0.37,0.49,13.3,0.045,0.053,0.243,998.2,3.14,0.48,8.5,6,white
6.2,0.22,0.49,6,0.029,0.031,0.128,992.8,3.41,0.36,11.3,8,white
7.8,0.26,0.49,3.2,0.027,0.028,0.087,991.9,3.03,0.32,11.3,7,white
8.9,0.32,0.49,1.6,0.05,0.017,0.131,995.6,3.13,0.34,9.4,5,white
6.5,0.44,0.49,7.7,0.045,0.016,0.169,995.7,3.11,0.37,8.7,6,white
7,0.14,0.49,5.9,0.053,0.022,0.118,995.4,3.36,0.36,9.4,6,white
9,0.17,0.49,1,0.039,0.046,0.131,993,3.09,0.51,10.5,7,white
6.4,0.26,0.49,6.4,0.037,0.037,0.161,995.4,3.38,0.53,9.7,6,white
9,0.22,0.49,10.4,0.048,0.052,0.195,998.7,3.31,0.44,10.2,6,white
8.9,0.32,0.49,1.6,0.05,0.017,0.131,995.6,3.13,0.34,9.4,5,white
8.2,0.2,0.49,3.5,0.057,0.014,0.108,992.8,3.19,0.35,11.5,6,white
7.8,0.15,0.24,7.7,0.047,0.021,0.098,995.1,2.94,0.31,9.6,6,white
6.9,0.25,0.24,1.8,0.053,0.006,0.121,993,3.23,0.7,11.4,5,white
8.2,0.2,0.49,3.5,0.057,0.014,0.108,992.8,3.19,0.35,11.5,6,white
7.1,0.28,0.49,6.5,0.041,0.028,0.111,992.6,3.41,0.58,12.2,8,white
7.4,0.19,0.49,6.7,0.037,0.015,0.11,993.8,3.2,0.38,11,7,white
8.3,0.25,0.49,16.8,0.048,0.05,0.228,"1,000.1",3.03,0.52,9.2,6,white
7.5,0.14,0.74,1.6,0.035,0.021,0.126,993.3,3.26,0.45,10.2,6,white
7.8,0.49,0.49,7,0.043,0.029,0.149,995.2,3.21,0.33,10,5,white
8.1,0.12,0.49,1.2,0.042,0.043,0.16,993.4,3.13,0.48,9.7,6,white
7.6,0.47,0.49,13,0.239,0.042,0.22,998.8,2.96,0.51,9.2,5,white
7.9,0.22,0.49,3.8,0.042,0.026,0.105,993,3.1,0.39,10.5,5,white
7.8,0.49,0.49,7,0.043,0.029,0.149,995.2,3.21,0.33,10,5,white
6.4,0.22,0.49,7.5,0.054,0.042,0.151,994.8,3.27,0.52,10.1,6,white
7.3,0.19,0.49,15.55,0.058,0.05,0.134,999.8,3.42,0.36,9.1,7,white
8.1,0.3,0.49,12.3,0.049,0.05,0.144,997.1,3.09,0.57,10.2,7,white
7.3,0.19,0.49,15.55,0.058,0.05,0.134,999.8,3.42,0.36,9.1,7,white
7.5,0.24,0.49,9.4,0.048,0.05,0.149,996.2,3.17,0.59,10.5,7,white
6.4,0.22,0.49,7.5,0.054,0.042,0.151,994.8,3.27,0.52,10.1,6,white
7.8,0.21,0.49,1.2,0.036,0.02,0.099,990,3.05,0.28,12.1,7,white
7.1,0.3,0.49,1.6,0.045,0.031,0.1,994.2,3.4,0.59,10.2,5,white
6.9,0.26,0.49,1.6,0.058,0.039,0.166,996.5,3.65,0.52,9.4,4,white
7.6,0.31,0.49,3.95,0.044,0.027,0.131,991.2,3.08,0.67,12.8,7,white
6.4,0.42,0.74,12.8,0.076,0.048,0.209,997.8,3.12,0.58,9,6,white
8.2,0.29,0.49,1,0.044,0.029,0.118,992.8,3.24,0.36,10.9,4,white
7.9,0.33,0.28,31.6,0.053,0.035,0.176,"1,010.3",3.15,0.38,8.8,6,white
6.6,0.46,0.49,7.4,0.052,0.019,0.184,995.6,3.11,0.38,9,5,white
7.8,0.28,0.49,1.3,0.046,0.027,0.142,993.6,3.09,0.59,10.2,5,white
5.8,0.15,0.49,1.1,0.048,0.021,0.098,992.9,3.19,0.48,9.2,5,white
7.8,0.4,0.49,7.8,0.06,0.034,0.162,996.6,3.26,0.58,11.3,6,white
6.6,0.31,0.49,7.7,0.05,0.052,0.22,996.4,3.12,0.45,8.8,5,white
6.6,0.325,0.49,7.7,0.049,0.053,0.217,996,3.16,0.4,9.3,5,white
6.6,0.27,0.49,7.8,0.049,0.062,0.217,995.9,3.17,0.45,9.4,6,white
6.7,0.26,0.49,8.3,0.047,0.054,0.191,995.4,3.23,0.4,10.3,6,white
6.7,0.21,0.49,1.4,0.047,0.03,0.114,991.4,2.92,0.42,10.8,7,white
7.9,0.33,0.28,31.6,0.053,0.035,0.176,"1,010.3",3.15,0.38,8.8,6,white
8.1,0.28,0.46,15.4,0.059,0.032,0.177,"1,000.4",3.27,0.58,9,4,white
6.5,0.13,0.37,1,0.036,0.048,0.114,991.1,3.41,0.51,11.5,8,white
7.8,0.445,0.56,1,0.04,0.008,0.084,993.8,3.25,0.43,10.8,5,white
8.8,0.39,0.34,5.9,0.055,0.033,0.128,992.7,2.95,0.51,11.8,6,white
7.9,0.18,0.33,1.2,0.033,0.02,0.072,992.2,3.12,0.38,10.5,7,white
7.1,0.31,0.38,1.2,0.036,0.01,0.124,992.4,3.14,0.44,9.9,6,white
7.8,0.24,0.18,6.7,0.046,0.033,0.16,996.3,3.2,0.56,9.8,6,white
7,0.35,0.3,6.5,0.028,0.027,0.087,993.6,3.4,0.42,11.4,7,white
6.6,0.26,0.31,4.8,0.138,0.041,0.168,995.1,3.2,0.38,9.3,5,white
6.6,0.27,0.31,5.3,0.137,0.035,0.163,995.1,3.2,0.38,9.3,5,white
6.8,0.22,0.29,8.9,0.046,0.082,0.188,995.5,3.3,0.44,10.3,6,white
6.2,0.27,0.32,8.8,0.047,0.065,0.224,996.1,3.17,0.47,8.9,5,white
7,0.35,0.3,6.5,0.028,0.027,0.087,993.6,3.4,0.42,11.4,7,white
7.3,0.23,0.37,1.8,0.032,0.06,0.156,992,3.11,0.35,11.1,6,white
6.2,0.3,0.2,6.6,0.045,0.042,0.17,994.4,3.36,0.45,10.4,6,white
6.4,0.35,0.2,5.7,0.034,0.018,0.117,994.4,3.33,0.43,10.1,5,white
7.6,0.32,0.34,18.35,0.054,0.044,0.197,"1,000.8",3.22,0.55,9,5,white
6.3,0.31,0.3,10,0.046,0.049,0.212,996.2,3.74,0.55,11.9,6,white
7.2,0.25,0.28,14.4,0.055,0.055,0.205,998.6,3.12,0.38,9,7,white
7.2,0.25,0.28,14.4,0.055,0.055,0.205,998.6,3.12,0.38,9,7,white
7.3,0.26,0.33,17.85,0.049,0.0415,0.195,1000,3.06,0.44,9.1,7,white
7.2,0.25,0.28,14.4,0.055,0.055,0.205,998.6,3.12,0.38,9,7,white
7.4,0.26,0.37,9.4,0.047,0.042,0.147,998.2,3.46,0.72,10,5,white
7.3,0.26,0.33,17.85,0.049,0.0415,0.195,1000,3.06,0.44,9.1,7,white
6.7,0.25,0.26,1.55,0.041,0.1185,0.216,994.9,3.55,0.63,9.4,3,white
7.1,0.16,0.25,1.3,0.034,0.028,0.123,991.5,3.27,0.55,11.4,6,white
9,0.43,0.3,1.5,0.05,0.007,0.175,995.1,3.11,0.45,9.7,4,white
7.2,0.25,0.28,14.4,0.055,0.055,0.205,998.6,3.12,0.38,9,7,white
7,0.24,0.3,4.2,0.04,0.041,0.213,992.7,3.28,0.49,11.8,6,white
6.7,0.265,0.22,8.6,0.048,0.054,0.198,995.5,3.25,0.41,10.2,5,white
7.7,0.12,0.32,1.4,0.06,0.047,0.15,995.2,3.37,0.42,9.2,6,white
7.2,0.21,0.33,3,0.036,0.035,0.132,992.8,3.25,0.4,11,6,white
8.5,0.32,0.36,14.9,0.041,0.047,0.19,998.2,3.08,0.31,10,6,white
6.9,0.18,0.3,2,0.038,0.039,0.19,991.4,3.32,0.37,12.2,6,white
7,0.24,0.3,4.2,0.04,0.041,0.213,992.7,3.28,0.49,11.8,6,white
6.3,0.26,0.29,2.2,0.043,0.035,0.175,991.8,3.38,0.43,11.6,6,white
6.7,0.26,0.3,1.8,0.043,0.025,0.121,994.4,3.44,0.61,10.2,6,white
7.9,0.29,0.36,11.1,0.033,0.043,0.208,996.9,3.14,0.46,10.3,5,white
6.5,0.27,0.19,4.2,0.046,0.006,0.114,995.5,3.25,0.35,8.6,4,white
6.7,0.33,0.42,6.4,0.058,0.027,0.151,995.4,3.16,0.44,9.6,5,white
6.7,0.31,0.42,6.4,0.057,0.025,0.148,995.5,3.16,0.45,9.6,5,white
6.6,0.25,0.31,1.5,0.035,0.032,0.127,992.1,3.41,0.47,11.3,6,white
6.4,0.24,0.22,1.5,0.038,0.038,0.157,993.4,3.41,0.55,9.9,6,white
6.8,0.26,0.29,16.95,0.056,0.048,0.179,999.8,3.45,0.4,9.6,5,white
7,0.61,0.26,1.7,0.051,0.025,0.161,994.6,3.36,0.6,10.6,4,white
6.8,0.22,0.3,13.6,0.055,0.05,0.18,998.4,3.44,0.39,9.8,5,white
8.1,0.31,0.24,1.6,0.032,0.01,0.067,992.4,3.08,0.47,10.5,5,white
7,0.2,0.3,6.1,0.037,0.031,0.12,993.9,3.24,0.51,10.8,5,white
7.9,0.18,0.37,3,0.061,0.025,0.178,995,3.22,0.51,10,6,white
6.6,0.34,0.27,6.2,0.059,0.023,0.136,995.7,3.3,0.49,10.1,6,white
6.8,0.3,0.24,6.6,0.123,0.035,0.116,995.3,3.07,0.48,9.4,5,white
6.5,0.18,0.34,1.6,0.04,0.043,0.148,991.2,3.32,0.59,11.5,8,white
7,0.21,0.31,6,0.046,0.029,0.108,993.9,3.26,0.5,10.8,6,white
6.8,0.27,0.32,1.5,0.044,0.019,0.142,992.1,3.1,0.43,9.9,6,white
9.3,0.2,0.33,1.7,0.05,0.028,0.178,995.4,3.16,0.43,9,4,white
5.8,0.23,0.27,1.8,0.043,0.024,0.069,993.3,3.38,0.31,9.4,6,white
7.6,0.2,0.39,2.6,0.044,0.03,0.18,994.1,3.46,0.44,10.8,7,white
8.2,0.15,0.48,2.7,0.052,0.024,0.19,995,3.5,0.45,10.9,7,white
7.5,0.4,1,19.5,0.041,0.033,0.148,997.7,3.24,0.38,12,6,white
6.5,0.18,0.34,1.6,0.04,0.043,0.148,991.2,3.32,0.59,11.5,8,white
7,0.13,0.3,5,0.056,0.031,0.122,994.5,3.47,0.42,10.5,6,white
6.9,0.17,0.22,4.6,0.064,0.055,0.152,995.2,3.29,0.37,9.3,6,white
7,0.3,0.32,6.4,0.034,0.028,0.097,992.4,3.23,0.44,11.8,6,white
7.6,0.445,0.44,14.5,0.045,0.068,0.212,998.6,3.48,0.36,10,6,white
6.8,0.3,0.24,6.6,0.123,0.035,0.116,995.3,3.07,0.48,9.4,5,white
7.5,0.22,0.33,6.7,0.036,0.045,0.138,993.9,3.2,0.68,11.4,6,white
9.2,0.23,0.3,1.1,0.031,0.04,0.099,992.9,2.94,0.3,10.4,6,white
8.7,0.34,0.46,13.8,0.055,0.068,0.198,998.8,3.36,0.37,9.5,6,white
6.6,0.545,0.04,2.5,0.031,0.048,0.111,990.6,3.14,0.32,11.9,5,white
8.1,0.3,0.31,1.1,0.041,0.049,0.123,991.4,2.99,0.45,11.1,6,white
6.9,0.16,0.3,9.6,0.057,0.05,0.185,997.8,3.39,0.38,9.6,6,white
8,0.32,0.36,4.6,0.042,0.056,0.178,992.8,3.29,0.47,12,6,white
6.1,0.22,0.23,3.1,0.052,0.015,0.104,994.8,3.14,0.42,8.7,5,white
6.9,0.16,0.3,9.6,0.057,0.05,0.185,997.8,3.39,0.38,9.6,6,white
7.5,0.15,0.38,1.8,0.054,0.019,0.101,994.6,3.24,0.44,10,5,white
8.4,0.29,0.29,1.05,0.032,0.004,0.055,990.8,2.91,0.32,11.4,4,white
6.6,0.37,0.47,6.5,0.061,0.023,0.15,995.4,3.14,0.45,9.6,6,white
7.7,0.38,0.4,2,0.038,0.028,0.152,990.6,3.18,0.32,12.9,6,white
6.3,0.25,0.23,14.9,0.039,0.047,0.142,997.05,3.14,0.35,9.7,6,white
8.3,0.3,0.36,10,0.042,0.033,0.169,998.2,3.23,0.51,9.3,6,white
6.6,0.22,0.58,1.1,0.133,0.052,0.136,993.2,3.1,0.3,9.1,5,white
6.1,0.34,0.31,12,0.053,0.046,0.238,997.7,3.16,0.48,8.6,5,white
7.5,0.22,0.29,4.8,0.05,0.033,0.087,994,3.14,0.42,9.9,5,white
8.3,0.3,0.36,10,0.042,0.033,0.169,998.2,3.23,0.51,9.3,6,white
8,0.27,0.24,1.2,0.044,0.02,0.102,992.9,3.28,0.42,10.9,5,white
6.1,0.17,0.27,1.5,0.056,0.045,0.135,992.4,3.2,0.43,10.2,6,white
7.4,0.18,0.3,10.4,0.045,0.044,0.174,996.6,3.11,0.57,9.7,6,white
6.7,0.16,0.28,2.5,0.046,0.04,0.153,992.1,3.38,0.51,11.4,7,white
6.1,0.255,0.44,12.3,0.045,0.053,0.197,996.7,3.24,0.54,9.5,6,white
7.4,0.23,0.25,1.4,0.049,0.043,0.141,993.4,3.42,0.54,10.2,7,white
6.4,0.16,0.28,2.2,0.042,0.033,0.093,991.4,3.31,0.43,11.1,6,white
6.3,0.25,0.23,14.9,0.039,0.047,0.142,997.05,3.14,0.35,9.7,6,white
6.7,0.27,0.25,8,0.053,0.054,0.202,996.1,3.22,0.43,9.3,5,white
6.9,0.29,0.23,8.6,0.056,0.056,0.215,996.7,3.17,0.44,8.8,5,white
9.6,0.21,0.28,1.2,0.038,0.012,0.053,992.6,2.8,0.46,10.6,5,white
6.6,0.62,0.2,8.7,0.046,0.081,0.224,996.05,3.17,0.44,9.3,5,white
6.4,0.28,0.19,5.4,0.042,0.067,0.181,994.35,3.31,0.35,10.2,6,white
8,0.3,0.28,5.7,0.044,0.031,0.124,994.8,3.16,0.51,10.2,6,white
6.4,0.17,0.27,1.5,0.037,0.02,0.098,991.6,3.46,0.42,11,7,white
7.3,0.21,0.3,10.9,0.037,0.018,0.112,997,3.4,0.5,9.6,6,white
6.7,0.27,0.25,8,0.053,0.054,0.202,996.1,3.22,0.43,9.3,5,white
6.9,0.29,0.23,8.6,0.056,0.056,0.215,996.7,3.17,0.44,8.8,5,white
6.6,0.32,0.26,7.7,0.054,0.056,0.209,996.1,3.17,0.45,8.8,5,white
7.4,0.32,0.22,1.7,0.051,0.05,0.179,995.5,3.28,0.69,8.9,5,white
6.6,0.37,0.07,1.4,0.048,0.058,0.144,992.2,3.17,0.38,10,5,white
7.7,0.43,0.28,4.5,0.046,0.033,0.102,991.8,3.16,0.56,12.2,7,white
7.8,0.39,0.26,9.9,0.059,0.033,0.181,995.5,3.04,0.42,10.9,6,white
6.5,0.18,0.26,1.4,0.041,0.04,0.141,994.1,3.34,0.72,9.5,6,white
7.8,0.4,0.26,9.5,0.059,0.032,0.178,995.5,3.04,0.43,10.9,6,white
7.8,0.39,0.26,9.9,0.059,0.033,0.181,995.5,3.04,0.42,10.9,6,white
6.9,0.19,0.28,3,0.054,0.033,0.099,992.4,3.16,0.4,10.8,6,white
7.7,0.49,1,19.6,0.03,0.028,0.135,997.3,3.24,0.4,12,6,white
6.6,0.25,0.35,14,0.069,0.042,0.163,999,3.56,0.47,9.8,5,white
6.5,0.18,0.26,1.4,0.041,0.04,0.141,994.1,3.34,0.72,9.5,6,white
6.4,0.15,0.36,1.8,0.034,0.043,0.15,992.2,3.42,0.69,11,8,white
6.4,0.15,0.36,1.8,0.034,0.043,0.15,992.2,3.42,0.69,11,8,white
8.4,0.17,0.31,5.4,0.052,0.047,0.15,995.3,3.24,0.38,9.8,5,white
6.1,0.32,0.37,1.8,0.051,0.013,0.2,994.5,3.49,0.44,10.5,4,white
8.5,0.21,0.26,9.25,0.034,0.073,0.142,994.5,3.05,0.37,11.4,6,white
8.7,0.45,0.4,1.5,0.067,0.017,0.1,995.7,3.27,0.57,10.1,6,white
6.7,0.24,0.29,6.8,0.038,0.054,0.127,993.2,3.33,0.46,11.6,7,white
8.5,0.21,0.26,9.25,0.034,0.073,0.142,994.5,3.05,0.37,11.4,6,white
7.4,0.33,0.26,2.6,0.04,0.029,0.115,991.3,3.07,0.52,11.8,7,white
7.2,0.26,0.3,2.1,0.033,0.05,0.158,990.9,3.33,0.43,12.1,7,white
8.2,0.36,0.29,7.6,0.035,0.037,0.122,993.9,3.16,0.34,12,5,white
7.8,0.2,0.24,1.6,0.026,0.026,0.189,991,3.08,0.74,12.1,7,white
9.4,0.16,0.3,1.4,0.042,0.026,0.176,995.4,3.15,0.46,9.1,5,white
6.4,0.33,0.24,1.6,0.054,0.025,0.117,994.3,3.36,0.5,9.3,5,white
7.8,0.22,0.36,1.4,0.056,0.021,0.153,993,3.2,0.53,10.4,6,white
7.4,0.35,0.31,17.95,0.062,0.042,0.187,"1,000.2",3.27,0.64,9.1,5,white
6.6,0.37,0.24,2,0.064,0.023,0.12,994.6,3.32,0.54,9.4,5,white
6.7,0.37,0.41,6.3,0.061,0.022,0.149,995.3,3.16,0.47,9.6,6,white
7.1,0.37,0.32,1.4,0.037,0.027,0.126,991.8,3.19,0.62,12,5,white
6.9,0.25,0.27,9.05,0.039,0.037,0.128,993.6,3.27,0.34,11.3,8,white
6.8,0.23,0.29,15.4,0.073,0.056,0.173,998.4,3.06,0.41,8.7,6,white
6.4,0.26,0.21,7.1,0.04,0.035,0.162,995.6,3.39,0.58,9.9,6,white
7.6,0.3,0.22,10.2,0.049,0.057,0.191,996.6,3.08,0.4,9.3,6,white
9.4,0.16,0.23,1.6,0.042,0.014,0.067,994.2,3.07,0.32,9.5,5,white
6.8,0.23,0.29,15.4,0.073,0.056,0.173,998.4,3.06,0.41,8.7,6,white
6.4,0.26,0.21,7.1,0.04,0.035,0.162,995.6,3.39,0.58,9.9,6,white
7.6,0.3,0.22,10.2,0.049,0.057,0.191,996.6,3.08,0.4,9.3,6,white
7.5,0.33,0.39,12.4,0.065,0.029,0.119,997.4,3.16,0.39,9.4,5,white
7.6,0.38,0.2,3.4,0.046,0.009,0.116,994.4,3.15,0.41,9.4,5,white
8.8,0.2,0.43,15,0.053,0.06,0.184,"1,000.8",3.28,0.79,8.8,6,white
7.5,0.33,0.39,12.4,0.065,0.029,0.119,997.4,3.16,0.39,9.4,5,white
8.8,0.2,0.43,15,0.053,0.06,0.184,"1,000.8",3.28,0.79,8.8,6,white
6.6,0.36,0.21,1.5,0.049,0.039,0.184,992.8,3.18,0.41,9.9,6,white
7.6,0.38,0.2,3.4,0.046,0.009,0.116,994.4,3.15,0.41,9.4,5,white
5.6,0.46,0.24,4.8,0.042,0.024,0.072,990.8,3.29,0.37,12.6,6,white
7.2,0.15,0.38,1.2,0.038,0.018,0.11,991.7,3.19,0.43,11.1,6,white
8.2,0.42,0.29,4.1,0.03,0.031,0.1,991.1,3,0.32,12.8,7,white
6.8,0.3,0.35,2.8,0.038,0.01,0.164,991.2,3.09,0.53,12,6,white
6.7,0.27,0.3,13.9,0.029,0.034,0.131,995.3,3.36,0.5,12,7,white
7.2,0.5,0,0.8,0.034,0.046,0.114,993.2,3.19,0.34,9.2,4,white
6,0.26,0.29,1,0.032,0.027,0.096,989.6,3.38,0.44,12.3,6,white
6.8,0.33,0.28,1.2,0.032,0.038,0.131,988.9,3.19,0.41,13,6,white
6.8,0.3,0.35,2.8,0.038,0.01,0.164,991.2,3.09,0.53,12,6,white
7.4,0.29,0.31,1.7,0.035,0.023,0.11,992.6,3.07,0.38,10.9,5,white
8.2,0.42,0.29,4.1,0.03,0.031,0.1,991.1,3,0.32,12.8,7,white
7.3,0.19,0.24,6.3,0.054,0.034,0.231,996.4,3.36,0.54,10,6,white
6.5,0.32,0.12,11.5,0.033,0.035,0.165,997.4,3.22,0.32,9,5,white
7.1,0.32,0.4,1.5,0.034,0.013,0.084,994.4,3.42,0.6,10.4,5,white
6.5,0.32,0.12,11.5,0.033,0.035,0.165,997.4,3.22,0.32,9,5,white
7.3,0.19,0.24,6.3,0.054,0.034,0.231,996.4,3.36,0.54,10,6,white
7.3,0.17,0.23,6.3,0.051,0.035,0.24,996.3,3.36,0.54,10,6,white
7.7,0.44,0.24,11.2,0.031,0.041,0.167,994.8,3.12,0.43,11.3,7,white
7.7,0.44,0.24,11.2,0.031,0.041,0.167,994.8,3.12,0.43,11.3,7,white
7.4,0.49,0.24,15.1,0.03,0.034,0.153,995.3,3.13,0.51,12,7,white
7.7,0.44,0.24,11.2,0.031,0.041,0.167,994.8,3.12,0.43,11.3,7,white
7.4,0.49,0.24,15.1,0.03,0.034,0.153,995.3,3.13,0.51,12,7,white
6.4,0.21,0.3,5.6,0.044,0.043,0.16,994.9,3.6,0.41,10.6,6,white
8,0.55,0.42,12.6,0.211,0.037,0.213,998.8,2.99,0.56,9.3,5,white
7,0.19,0.23,5.7,0.123,0.027,0.104,995.4,3.04,0.54,9.4,6,white
7.2,0.24,0.29,2.2,0.037,0.037,0.102,992,3.27,0.64,11,7,white
6.5,0.34,0.36,11,0.052,0.053,0.247,998.4,3.44,0.55,9.3,6,white
7,0.19,0.23,5.7,0.123,0.027,0.104,995.4,3.04,0.54,9.4,6,white
6.9,0.18,0.33,1,0.054,0.024,0.164,992.6,3.42,0.51,10.5,5,white
7.2,0.24,0.29,2.2,0.037,0.037,0.102,992,3.27,0.64,11,7,white
8.2,0.18,0.31,11.8,0.039,0.096,0.249,997.6,3.07,0.52,9.5,6,white
8.3,0.28,0.45,7.8,0.059,0.032,0.139,997.2,3.33,0.77,11.2,6,white
6.1,0.34,0.46,4.7,0.029,0.021,0.094,991,3.29,0.62,12.3,6,white
7.4,0.44,0.2,11.5,0.049,0.044,0.157,998,3.27,0.44,9,5,white
7.6,0.26,0.58,7.9,0.041,0.062,0.18,996.6,3.07,0.38,9,5,white
7.4,0.44,0.2,11.5,0.049,0.044,0.157,998,3.27,0.44,9,5,white
8.7,0.49,0.57,17.8,0.052,0.034,0.243,"1,000.7",2.98,0.82,9,5,white
7,0.24,0.25,1.7,0.042,0.048,0.189,992,3.25,0.42,11.4,6,white
7.1,0.25,0.25,1.6,0.046,0.05,0.181,992.5,3.2,0.42,11,7,white
6.1,0.34,0.46,4.7,0.029,0.021,0.094,991,3.29,0.62,12.3,6,white
6.4,0.18,0.31,1.6,0.049,0.036,0.127,993.4,3.6,0.67,10.4,7,white
8.3,0.27,0.39,2.4,0.058,0.016,0.107,995.5,3.28,0.59,10.3,5,white
6.8,0.24,0.35,6.4,0.048,0.044,0.172,994.4,3.29,0.55,10.5,7,white
8,0.22,0.28,14,0.053,0.083,0.197,998.1,3.14,0.45,9.8,6,white
10,0.91,0.42,1.6,0.056,0.034,0.181,996.8,3.11,0.46,10,4,white
8.9,0.34,0.34,1.6,0.056,0.013,0.176,994.6,3.14,0.47,9.7,5,white
8.9,0.33,0.34,1.4,0.056,0.014,0.171,994.6,3.13,0.47,9.7,5,white
8,0.22,0.28,14,0.053,0.083,0.197,998.1,3.14,0.45,9.8,6,white
6.7,0.18,0.19,4.7,0.046,0.057,0.161,994.6,3.32,0.66,10.5,6,white
7.8,0.2,0.28,10.2,0.054,0.078,0.186,997,3.14,0.46,10,6,white
7.3,0.13,0.31,2.3,0.054,0.022,0.104,992.4,3.24,0.92,11.5,7,white
6.6,0.28,0.3,7.8,0.049,0.057,0.202,995.8,3.24,0.39,9.5,5,white
7.1,0.25,0.3,2.4,0.042,0.025,0.122,994,3.43,0.61,10.5,6,white
7.6,0.36,0.44,8.3,0.255,0.028,0.142,995.8,3.12,0.43,10.2,6,white
7.6,0.27,0.25,13.9,0.05,0.045,0.199,998.4,3.34,0.5,9.8,6,white
6.9,0.37,0.28,13.8,0.031,0.034,0.137,994.8,3.1,0.37,11.6,6,white
7.4,0.21,0.27,7.3,0.031,0.041,0.144,993.2,3.15,0.38,11.8,7,white
8.2,0.18,0.28,8.5,0.035,0.041,0.14,995.2,3.04,0.37,10.1,7,white
6.3,0.19,0.21,1.8,0.049,0.035,0.163,992.4,3.31,0.5,10.3,6,white
7,0.21,0.22,5.1,0.048,0.038,0.168,994.5,3.34,0.49,10.4,6,white
5.8,0.33,0.2,16.05,0.047,0.026,0.166,997.6,3.09,0.46,8.9,5,white
5.8,0.33,0.2,16.05,0.047,0.026,0.166,997.6,3.09,0.46,8.9,5,white
7.9,0.29,0.31,7.35,0.034,0.037,0.154,993.8,3.06,0.31,10.8,5,white
6.6,0.31,0.38,16.05,0.058,0.016,0.165,999.7,3.38,0.6,9.2,5,white
8,0.19,0.3,2,0.053,0.048,0.14,994,3.18,0.49,9.6,6,white
8,0.2,0.36,1.2,0.032,0.021,0.078,992.1,3.08,0.37,10.4,6,white
8,0.25,0.26,14,0.043,0.041,0.248,998.6,3.03,0.57,8.7,6,white
7.2,0.2,0.61,16.2,0.043,0.014,0.103,998.7,3.06,0.36,9.2,6,white
7.7,0.3,0.42,14.3,0.045,0.045,0.213,999.1,3.18,0.63,9.2,5,white
7.2,0.2,0.61,16.2,0.043,0.014,0.103,998.7,3.06,0.36,9.2,6,white
7.7,0.3,0.42,14.3,0.045,0.045,0.213,999.1,3.18,0.63,9.2,5,white
7.7,0.3,0.42,14.3,0.045,0.045,0.213,999.1,3.18,0.63,9.2,5,white
6.4,0.22,0.32,7.9,0.029,0.034,0.124,994.8,3.4,0.39,10.2,5,white
7.2,0.2,0.61,16.2,0.043,0.014,0.103,998.7,3.06,0.36,9.2,6,white
7,0.53,0.02,1,0.036,0.039,0.107,993,3.2,0.32,9,5,white
7.3,0.24,0.41,13.6,0.05,0.041,0.178,998.8,3.37,0.43,9.7,5,white
7.2,0.24,0.4,17.85,0.049,0.05,0.185,1000,3.34,0.42,9.6,5,white
7.6,0.15,0.4,1.3,0.036,0.024,0.112,993.2,3.14,0.76,10,5,white
7.7,0.3,0.42,14.3,0.045,0.045,0.213,999.1,3.18,0.63,9.2,5,white
7.6,0.33,0.41,13.7,0.045,0.044,0.197,998.9,3.18,0.64,9.1,5,white
6.8,0.24,0.31,18.3,0.046,0.04,0.142,1000,3.3,0.41,8.7,5,white
6.8,0.24,0.31,18.3,0.046,0.04,0.142,1000,3.3,0.41,8.7,5,white
6.8,0.35,0.44,6.5,0.056,0.031,0.161,995.2,3.14,0.44,9.5,5,white
7.9,0.26,0.33,10.3,0.039,0.073,0.212,996.9,2.93,0.49,9.5,6,white
7.5,0.29,0.67,8.1,0.037,0.053,0.166,996.6,2.9,0.41,8.9,6,white
7.5,0.29,0.67,8.1,0.037,0.053,0.166,996.6,2.9,0.41,8.9,6,white
7.2,0.31,0.41,8.6,0.053,0.015,0.089,997.6,3.29,0.64,9.9,6,white
